id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean tweets,subjectivity,polarity,month
1.50953E+18,1.50953E+18,2022-03-31 19:24:51 India Standard Time,3/31/2022,19:24:51,530,9.38072E+17,china_amb_india,Sun Weidong,,"On March 30,President Xi Jinping planted trees in Beijing in the 10th year of his participation in annual tree-planting activity, demonstrating the principle that lucid waters&amp;lush mountains are invaluable assets and sow the seeds of ecological conservation in the entire society.  https://t.co/to2MDTourG",en,[],[],"['https://pbs.twimg.com/media/FPLtM4HaUAADuxL.jpg', 'https://pbs.twimg.com/media/FPLtNz4aUAAKG9p.jpg']",25,36,215,[],[],https://twitter.com/China_Amb_India/status/1509529659394129924,FALSE,,1,https://pbs.twimg.com/media/FPLtM4HaUAADuxL.jpg,,,,,,,[],,,,,march 30president xi jinping planted trees beijing 10th year participation annual treeplanting activity demonstrating principle lucid waterslush mountains invaluable assets sow seeds ecological conservation entire society,0.6125,0.2,3
1.50796E+18,1.50796E+18,2022-03-27 11:45:49 India Standard Time,3/27/2022,11:45:49,530,9.38072E+17,china_amb_india,Sun Weidong,,"On March 25, State Councilor and Foreign Minister Wang Yi held talks with Indian External Affairs Minister Subrahmanyam Jaishankar in New Delhi during his working visit to India. Please read the official press release:  https://t.co/zNrXhnMDzt  https://t.co/49NQBC5TxT",en,[],['https://www.fmprc.gov.cn/eng/zxxx_662805/202203/t20220326_10656097.html'],"['https://pbs.twimg.com/media/FO1dzHCVEAQSZGk.jpg', 'https://pbs.twimg.com/media/FO1dzI6UcAM_D2F.jpg']",41,78,353,[],[],https://twitter.com/China_Amb_India/status/1507964591631785990,FALSE,,1,https://pbs.twimg.com/media/FO1dzHCVEAQSZGk.jpg,,,,,,,[],,,,,march 25 state councilor foreign minister wang yi held talks indian external affairs minister subrahmanyam jaishankar new delhi working visit india please read official press release,0.226515152,0.003787879,3
1.50796E+18,1.50796E+18,2022-03-27 11:43:15 India Standard Time,3/27/2022,11:43:15,530,9.38072E+17,china_amb_india,Sun Weidong,,"On March 25, State Councilor and Foreign Minister Wang Yi met with National Security Advisor Ajit Doval of India in New Delhi during his working visit to India. Please read the official press release:  https://t.co/1f5CbLGKyZ  https://t.co/iAgbsJCRGk",en,[],['https://www.fmprc.gov.cn/eng/zxxx_662805/202203/t20220326_10656099.html'],"['https://pbs.twimg.com/media/FO1dNFYVUAIS_8s.jpg', 'https://pbs.twimg.com/media/FO1dNFYVIAA_f3c.jpg']",41,86,406,[],[],https://twitter.com/China_Amb_India/status/1507963942928220162,FALSE,,1,https://pbs.twimg.com/media/FO1dNFYVUAIS_8s.jpg,,,,,,,[],,,,,march 25 state councilor foreign minister wang yi met national security advisor ajit doval india new delhi working visit india please read official press release,0.289772727,0.005681818,3
1.50652E+18,1.50652E+18,2022-03-23 12:17:53 India Standard Time,3/23/2022,12:17:53,530,9.38072E+17,china_amb_india,Sun Weidong,,Here is the new issue of  #China-#India Review. Enjoy and learn about the latest developments in #China and #China-#India relations.  https://t.co/ZWDZhcuZUt  https://t.co/ARhfWyb6lp,en,[],['https://reurl.cc/nEGbYD'],['https://pbs.twimg.com/media/FOg9iF_VQAADwtY.png'],76,78,347,"['china', 'india', 'china', 'china', 'india']",[],https://twitter.com/China_Amb_India/status/1506523106864615425,FALSE,,1,https://pbs.twimg.com/media/FOg9iF_VQAADwtY.png,,,,,,,[],,,,,new issue chinaindia review enjoy learn latest developments china chinaindia relations,0.618181818,0.345454545,3
1.50593E+18,1.50593E+18,2022-03-21 20:43:55 India Standard Time,3/21/2022,20:43:55,530,9.38072E+17,china_amb_india,Sun Weidong,,"Thanks to Prime Minister @narendramodi &amp;Indian friends for your prayers &amp;sympathy for the loss in the air crash. Chinese President Xi Jinping has ordered all-out search &amp; rescue efforts &amp; proper settlement of aftermath. Mourn for the victims, deep condolences to their families🙏",en,"[{'screen_name': 'narendramodi', 'name': 'narendra modi', 'id': '18839785'}]",[],[],63,67,573,[],[],https://twitter.com/China_Amb_India/status/1505925680265015305,FALSE,https://twitter.com/narendramodi/status/1505889500119146496,0,,,,,,,,[],,,,,thanks prime minister narendramodi indian friends prayers sympathy loss air crash chinese president xi jinping ordered allout search rescue efforts proper settlement aftermath mourn victims deep condolences families,0.175,0.05,3
1.50488E+18,1.50488E+18,2022-03-18 23:43:53 India Standard Time,3/18/2022,23:43:53,530,9.38072E+17,china_amb_india,Sun Weidong,,"The two Presidents agreed that the video call is constructive. They directed their teams to promptly follow up and take concrete actions to put China-US relations back on the track of steady development, and make respective efforts for the proper settlement of the Ukraine crisis.",en,[],[],[],4,4,24,[],[],https://twitter.com/China_Amb_India/status/1504883807597768704,FALSE,,0,,,,,,,,[],,,,,two presidents agreed video call constructive directed teams promptly follow take concrete actions put chinaus relations back track steady development make respective efforts proper settlement ukraine crisis,0.2,0.063333333,3
1.50488E+18,1.50488E+18,2022-03-18 23:43:53 India Standard Time,3/18/2022,23:43:53,530,9.38072E+17,china_amb_india,Sun Weidong,,"President Biden expressed readiness to stay in close touch with President Xi to set the direction for US-China relationship. The US is ready to have candid dialogue&amp;closer cooperation with China, stay committed to one-China policy,and effectively manage competition&amp;disagreements.",en,[],[],[],2,5,25,[],[],https://twitter.com/China_Amb_India/status/1504883805680992257,FALSE,,0,,,,,,,,[],,,,,president biden expressed readiness stay close touch president xi set direction uschina relationship us ready candid dialoguecloser cooperation china stay committed onechina policyand effectively manage competitiondisagreements,0.7,0.466666667,3
1.50488E+18,1.50488E+18,2022-03-18 23:43:52 India Standard Time,3/18/2022,23:43:52,530,9.38072E+17,china_amb_india,Sun Weidong,,President Biden reiterated the US does not seek a new Cold War with China; it does not aim to change China’s system; the revitalization of its alliances is not targeted at China; the US does not support “Taiwan independence”; and it has no intention to seek a conflict with China.,en,[],[],[],4,3,4,[],[],https://twitter.com/China_Amb_India/status/1504883803831291904,FALSE,,0,,,,,,,,[],,,,,president biden reiterated us seek new cold war china midday change chinas system revitalization alliances targeted china us support taiwan independence intention seek conflict china,0.727272727,-0.231818182,3
1.50488E+18,1.50488E+18,2022-03-18 23:43:52 India Standard Time,3/18/2022,23:43:52,530,9.38072E+17,china_amb_india,Sun Weidong,,"As two Chinese sayings go,“It takes 2 hands to clap.” “He who tied the bell to the tiger must take it off.”It's imperative parties involved demonstrate political will&amp;find a proper settlement in view of immediate&amp;long-term needs.Other parties should create conditions to that end.",en,[],[],[],2,1,5,[],[],https://twitter.com/China_Amb_India/status/1504883801935454209,FALSE,,0,,,,,,,,[],,,,,two chinese sayings goit takes 2 hands clap tied bell tiger must take offit imperative parties involved demonstrate political willfind proper settlement view immediatelongterm needsother parties create conditions end,0.066666667,0,3
1.50488E+18,1.50488E+18,2022-03-18 23:43:51 India Standard Time,3/18/2022,23:43:51,530,9.38072E+17,china_amb_india,Sun Weidong,,"China stands for peace and opposes war. China has put forward a six-point initiative on the humanitarian situation in Ukraine, and is ready to provide further humanitarian assistance to Ukraine and other affected countries.",en,[],[],[],3,0,4,[],[],https://twitter.com/China_Amb_India/status/1504883800027058176,FALSE,,0,,,,,,,,[],,,,,china stands peace opposes war china put forward sixpoint initiative humanitarian situation ukraine ready provide humanitarian assistance ukraine affected countries,0.5,0.2,3
1.50488E+18,1.50488E+18,2022-03-18 23:43:51 India Standard Time,3/18/2022,23:43:51,530,9.38072E+17,china_amb_india,Sun Weidong,,"China does not want to see the situation in Ukraine to come to this.China advocates upholding int'l law&amp;universally recognized norms governing international relations. China adheres to the UN Charter&amp;promotes the vision of common, comprehensive, cooperative&amp;sustainable security.",en,[],[],[],2,0,3,[],[],https://twitter.com/China_Amb_India/status/1504883798122823682,FALSE,,0,,,,,,,,[],,,,,china want see situation ukraine come thischina advocates upholding intl lawuniversally recognized norms governing international relations china adheres un charterpromotes vision common comprehensive cooperativesustainable security,0.25,-0.15,3
