id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean tweets,subjectivity,polarity,month
1.51998E+18,1.51998E+18,2022-04-29 15:39:57 India Standard Time,4/29/2022,15:39:57,530,7.67215E+17,eoibeijing,India in China,,"Press Release: RETURN OF INDIAN STUDENTS TO CHINA  🔗:  https://t.co/ZzaVqTpy1r,,  https://t.co/TRKnMdtdrb",en,[],['https://www.eoibeijing.gov.in/eoibejing_listview/MTA4Mg'],['https://pbs.twimg.com/media/FRgP2TTUcAAVcol.jpg'],50,311,842,[],[],https://twitter.com/EOIBeijing/status/1519982309234987009,FALSE,,1,https://pbs.twimg.com/media/FRgP2TTUcAAVcol.jpg,,,,,,,[],,,,,press release return indian students china,0,0,4
1.51992E+18,1.51992E+18,2022-04-29 11:28:53 India Standard Time,4/29/2022,11:28:53,530,7.67215E+17,eoibeijing,India in China,,"Transcript of Weekly Media Briefing by the @MEAIndia  Spokesperson April 28, 2022  🔗:  https://t.co/WnTiwrq0Rh  https://t.co/q6DHhYqoMZ",en,"[{'screen_name': 'meaindia', 'name': 'arindam bagchi', 'id': '441636351'}]",['https://www.mea.gov.in/media-briefings.htm?dtl/35244/Transcript_of_Weekly_Media_Briefing_by_the_Official_Spokesperson_April_28_2022'],['https://pbs.twimg.com/media/FRfWSvhUUAAZwh6.jpg'],1,0,24,[],[],https://twitter.com/EOIBeijing/status/1519919127762145280,FALSE,,1,https://pbs.twimg.com/media/FRfWSvhUUAAZwh6.jpg,,,,,,,[],,,,,transcript weekly media briefing meaindia spokesperson april 28 2022,0,0,4
1.51991E+18,1.51991E+18,2022-04-29 10:49:40 India Standard Time,4/29/2022,10:49:40,530,7.67215E+17,eoibeijing,India in China,,“Abhinaya in Kathak” -a workshop on expressional dance conducted for dance students by SVCC teacher Dr Amarjeet Kaur on the occasion of #WorldDanceDay  #DancesOfIndia #CelebrateDance #AmritMahotsav  https://t.co/Bv81VG6XCb,en,[],[],"['https://pbs.twimg.com/media/FRfNY70UcAA2xcS.jpg', 'https://pbs.twimg.com/media/FRfNY73VcAAxSQk.jpg', 'https://pbs.twimg.com/media/FRfNY71UYAQcbCB.jpg', 'https://pbs.twimg.com/media/FRfNY70VUAArHRk.jpg']",0,3,9,"['worlddanceday', 'dancesofindia', 'celebratedance', 'amritmahotsav']",[],https://twitter.com/EOIBeijing/status/1519909256950009856,FALSE,https://twitter.com/EOIBeijing/status/1519906109204488194,1,https://pbs.twimg.com/media/FRfNY70UcAA2xcS.jpg,,,,,,,[],,,,,abhinaya kathak workshop expressional dance conducted dance students svcc teacher dr amarjeet kaur occasion worlddanceday dancesofindia celebratedance amritmahotsav,0,0,4
1.51991E+18,1.51991E+18,2022-04-29 10:37:09 India Standard Time,4/29/2022,10:37:09,530,7.67215E+17,eoibeijing,India in China,,"#WorldDanceDay   Glimpses of 🇮🇳 classical &amp; folk dance forms @ Swami Vivekananda Cultural Center, @EOIBeijing performed by students and teachers.  #AmritMahotsav  #CelebrateDance #DancesOfIndia  @iccr_hq @MinOfCultureGoI @IndianDiplomacy @incredibleindia @AmritMahotsav  https://t.co/vnqMw7wK7E",en,"[{'screen_name': 'eoibeijing', 'name': 'india in china', 'id': '767214972115914753'}, {'screen_name': 'iccr_hq', 'name': 'iccr', 'id': '2812895832'}, {'screen_name': 'minofculturegoi', 'name': 'ministry of culture', 'id': '2673476378'}, {'screen_name': 'indiandiplomacy', 'name': 'indian diplomacy', 'id': '164213375'}, {'screen_name': 'incredibleindia', 'name': 'incredible!ndia', 'id': '624517612'}, {'screen_name': 'amritmahotsav', 'name': 'amrit mahotsav', 'id': '1371389369274146818'}]",[],[],1,8,26,"['worlddanceday', 'amritmahotsav', 'celebratedance', 'dancesofindia']",[],https://twitter.com/EOIBeijing/status/1519906109204488194,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1519905775417585664/pu/img/CVdO78tgXGhOQIJ3.jpg,,,,,,,[],,,,,worlddanceday glimpses classical folk dance forms swami vivekananda cultural center eoibeijing performed students teachers amritmahotsav celebratedance dancesofindia iccr hq minofculturegoi indiandiplomacy incredibleindia amritmahotsav,0.066666667,0,4
1.51782E+18,1.51782E+18,2022-04-23 16:39:52 India Standard Time,4/23/2022,16:39:52,530,7.67215E+17,eoibeijing,India in China,,#cinemaSCOpe Movie #15  #Special26  The SCO family joins us @EOIBeijing for the 15th movie of the cinemaSCOpe series.   #IndiaAtSCO  #IndiaAt75  #AmritMahotsav  https://t.co/FQYj6y2pJe,en,"[{'screen_name': 'eoibeijing', 'name': 'india in china', 'id': '767214972115914753'}]",[],"['https://pbs.twimg.com/media/FRBj_FcVUAE1_z0.jpg', 'https://pbs.twimg.com/media/FRBj_FdVUAEKbAN.jpg', 'https://pbs.twimg.com/media/FRBj_kxUYAA_ji1.jpg', 'https://pbs.twimg.com/media/FRBj__uVEAA2YzJ.jpg']",8,4,13,"['cinemascope', 'special26', 'indiaatsco', 'indiaat75', 'amritmahotsav']",[],https://twitter.com/EOIBeijing/status/1517823060908273664,FALSE,,1,https://pbs.twimg.com/media/FRBj_FcVUAE1_z0.jpg,,,,,,,[],,,,,cinemascope movie 15 special26 sco family joins us eoibeijing 15th movie cinemascope series indiaatsco indiaat75 amritmahotsav,0,0,4
1.51771E+18,1.51771E+18,2022-04-23 09:06:46 India Standard Time,4/23/2022,9:06:46,530,7.67215E+17,eoibeijing,India in China,,"“It is obvious that we coped &amp; then, adapted. Our ability to respond to crises &amp; deal with the unexpected was tested to the utmost.🇮🇳 rose to the challenge of the pandemic”  FS @harshvshringla’s article encapsulating the international dimension of🇮🇳’s fight against the pandemic⬇️",en,"[{'screen_name': 'harshvshringla', 'name': 'harsh v shringla', 'id': '4817560872'}]",[],[],11,1,21,[],[],https://twitter.com/EOIBeijing/status/1517709034379378688,FALSE,https://twitter.com/MEAIndia/status/1517705245874262018,0,,,,,,,,[],,,,,obvious coped adapted ability respond crises deal unexpected tested utmost rose challenge pandemic fs harshvshringlas article encapsulating international dimension ofs fight pandemic,0.6125,0.175,4
1.51743E+18,1.51743E+18,2022-04-22 14:33:44 India Standard Time,4/22/2022,14:33:44,530,7.67215E+17,eoibeijing,India in China,,"This #EarthDay, let us pledge to invest in the future of our planet.   Let's commit to live by the mantra of LIFE, Lifestyle for Environment, like each day is Earth Day.   #पृथ्वी_दिवस  #EarthDay22  #AmritMahotsav  https://t.co/TdCWJRzH61",en,[],[],[],2,3,16,"['earthday', 'पृथ्वी_दिवस', 'earthday22', 'amritmahotsav']",[],https://twitter.com/EOIBeijing/status/1517428934006099968,FALSE,,1,https://pbs.twimg.com/ext_tw_video_thumb/1517428600651190272/pu/img/fmkpIIdeExN7uDa1.jpg,,,,,,,[],,,,,earthday let us pledge invest future planet let us commit live mantra life lifestyle environment like day earth day earthday22 amritmahotsav,0.3125,0.068181818,4
1.51665E+18,1.51665E+18,2022-04-20 10:42:18 India Standard Time,4/20/2022,10:42:18,530,7.67215E+17,eoibeijing,India in China,,#WHOGlobalCentreForTraditionalMedicine   Synergising ancient wisdom and modern science for global wellness.,en,[],[],[],1,2,8,['whoglobalcentrefortraditionalmedicine'],[],https://twitter.com/EOIBeijing/status/1516645913468424192,FALSE,https://twitter.com/MEAIndia/status/1516399163113566210,0,,,,,,,,[],,,,,whoglobalcentrefortraditionalmedicine synergising ancient wisdom modern science global wellness,0.15,0.1,4
1.51664E+18,1.51664E+18,2022-04-20 10:15:44 India Standard Time,4/20/2022,10:15:44,530,7.67215E+17,eoibeijing,India in China,,#FestivalsOfIndia #IncredibleIndia  Beijing Tamil Sangamam &amp; Beijing Malayalee Association organised celebration of Tamil New Year &amp; Vishu @EOIBeijing premises.   #AmritMahotsav  https://t.co/dyB4HDwAwu,en,"[{'screen_name': 'eoibeijing', 'name': 'india in china', 'id': '767214972115914753'}]",[],"['https://pbs.twimg.com/media/FQwvR8oVUAEgv1g.jpg', 'https://pbs.twimg.com/media/FQwvR8oVsAE9pEb.jpg', 'https://pbs.twimg.com/media/FQwvR8sVsAQeUfQ.jpg', 'https://pbs.twimg.com/media/FQwvR_7UYAgWzAT.jpg']",8,8,43,"['festivalsofindia', 'incredibleindia', 'amritmahotsav']",[],https://twitter.com/EOIBeijing/status/1516639228863475715,FALSE,,1,https://pbs.twimg.com/media/FQwvR8oVUAEgv1g.jpg,,,,,,,[],,,,,festivalsofindia incredibleindia beijing tamil sangamam beijing malayalee association organised celebration tamil new year vishu eoibeijing premises amritmahotsav,0.454545455,0.136363636,4
1.51554E+18,1.51554E+18,2022-04-17 09:11:01 India Standard Time,4/17/2022,9:11:01,530,7.67215E+17,eoibeijing,India in China,,#FestivalsOfIndia #IncredibleIndia,und,[],[],[],2,0,8,"['festivalsofindia', 'incredibleindia']",[],https://twitter.com/EOIBeijing/status/1515535780138999808,FALSE,https://twitter.com/narendramodi/status/1515524575127224324,0,,,,,,,,[],,,,,festivalsofindia incredibleindia,0,0,4
