id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean tweets,subjectivity,polarity,month
1.47657E+18,1.47657E+18,2021-12-30 20:40:44 India Standard Time,12/30/2021,20:40:44,530,7.67215E+17,eoibeijing,India in China,,@MEAIndia Spokesperson's response to a media query on reports that China has renamed some places in Arunachal Pradesh in its own language  📰:  https://t.co/zg7zUc01eu  https://t.co/xYPMVpFm9D,en,"[{'screen_name': 'meaindia', 'name': 'arindam bagchi', 'id': '441636351'}]",['https://mea.gov.in/response-to-queries.htm?dtl/34731/Official_Spokespersons_response_to_a_media_query_on_reports_that_China_has_renamed_some_places_in_Arunachal_Pradesh_in_its_own_language'],['https://pbs.twimg.com/media/FH3V6doUcAErjPb.jpg'],11,45,111,[],[],https://twitter.com/EOIBeijing/status/1476571462601302018,FALSE,,1,https://pbs.twimg.com/media/FH3V6doUcAErjPb.jpg,,,,,,,[],,,,,meaindia spokespersons response media query reports china renamed places arunachal pradesh language,0,0,12
1.47577E+18,1.47541E+18,2021-12-28 15:32:42 India Standard Time,12/28/2021,15:32:42,530,7.67215E+17,eoibeijing,India in China,,"@meaMADAD @AllSeafarers @OIA_MEA @dgship_goi @shipmin_india @sarbanandsonwal @mui_mum @AbdulganiSerang @PBSC_Beijing Embassy and @cgiguangzhou is already in touch with the detainee, the family and All India Seafarers Union on the matter.",en,"[{'screen_name': 'cgiguangzhou', 'name': 'india in guangzhou', 'id': '821646537184911361'}]",[],[],3,3,10,[],[],https://twitter.com/EOIBeijing/status/1475769168272101377,FALSE,,0,,,,,,,,"[{'screen_name': 'meaMADAD', 'name': 'Madad, MEA', 'id': '820884196696522759'}, {'screen_name': 'AllSeafarers', 'name': 'All India Seafarers Union', 'id': '1218569334957604864'}, {'screen_name': 'OIA_MEA', 'name': 'Overseas Indian Affairs', 'id': '1115543461841661952'}, {'screen_name': 'dgship_goi', 'name': 'Directorate General of Shipping, Govt. of India', 'id': '1149243796820910080'}, {'screen_name': 'shipmin_india', 'name': 'Ministry of Ports, Shipping and Waterways', 'id': '2911771819'}, {'screen_name': 'sarbanandsonwal', 'name': 'Sarbananda Sonowal', 'id': '2570829264'}, {'screen_name': 'mui_mum', 'name': 'The Maritime Union of India (MUI)', 'id': '819432552750411776'}, {'screen_name': 'AbdulganiSerang', 'name': 'Abdulgani Serang', 'id': '2731376970'}, {'screen_name': 'PBSC_Beijing', 'name': 'Prasar Bharati, Beijing', 'id': '1227118716153761792'}]",,,,,meamadad allseafarers oia mea dgship get shipmin india sarbanandsonwal mui mum abdulganiserang pbsc beijing embassy cgiguangzhou already touch detainee family india seafarers union matter,0,0,12
1.47492E+18,1.47492E+18,2021-12-26 07:00:21 India Standard Time,12/26/2021,7:00:21,530,7.67215E+17,eoibeijing,India in China,,#IndiaFightsCorona,und,[],[],[],0,1,10,['indiafightscorona'],[],https://twitter.com/EOIBeijing/status/1474915453168275462,FALSE,https://twitter.com/mygovindia/status/1474788965412528130,0,,,,,,,,[],,,,,indiafightscorona,0,0,12
1.47454E+18,1.47454E+18,2021-12-25 06:26:56 India Standard Time,12/25/2021,6:26:56,530,7.67215E+17,eoibeijing,India in China,,Wishing you all a joyful and happy Christmas.  #MerryChristmas 🎄  https://t.co/zdTMOjI2U1,en,[],[],['https://pbs.twimg.com/media/FHaiiyWVkAEBQq3.jpg'],0,5,20,['merrychristmas'],[],https://twitter.com/EOIBeijing/status/1474544655014383619,FALSE,,1,https://pbs.twimg.com/media/FHaiiyWVkAEBQq3.jpg,,,,,,,[],,,,,wishing joyful happy christmas merrychristmas,1,0.8,12
1.47288E+18,1.47288E+18,2021-12-20 15:56:59 India Standard Time,12/20/2021,15:56:59,530,7.67215E+17,eoibeijing,India in China,,Ambassador Pradeep Kumar Rawat has been appointed as the next Ambassador of India to the People’s Republic Of China.   📰:  https://t.co/PT0DCnm5Sb  https://t.co/Yt4scbUt1i,en,[],['https://mea.gov.in/press-releases.htm?dtl/34708/Shri_Pradeep_Kumar_Rawat__appointed_as_the_next_Ambassador_of_India_to_the_Peoples_Republic_of_the_China'],['https://pbs.twimg.com/media/FHC1EjPUcAA2Kkv.jpg'],9,37,143,[],[],https://twitter.com/EOIBeijing/status/1472876176792162305,FALSE,,1,https://pbs.twimg.com/media/FHC1EjPUcAA2Kkv.jpg,,,,,,,[],,,,,ambassador pradeep kumar rawat appointed next ambassador india peoples republic china,0,0,12
1.47205E+18,1.47205E+18,2021-12-18 09:14:24 India Standard Time,12/18/2021,9:14:24,530,7.67215E+17,eoibeijing,India in China,,"Led by SVCC teachers Dr Amarjeet and Dr Jaideb, the students mesmerised the audience with their understanding and grasp of Indian classical arts that they have picked up.  #AmritMahotsav #Ninaad  https://t.co/t1PCge9PmR",en,[],[],"['https://pbs.twimg.com/media/FG3Fu08VkAQk49H.jpg', 'https://pbs.twimg.com/media/FG3Fu3jVEAEPrLk.jpg', 'https://pbs.twimg.com/media/FG3Fu5MUYAAWYAN.jpg', 'https://pbs.twimg.com/media/FG3FvJjUYAER7Qk.jpg']",1,1,10,"['amritmahotsav', 'ninaad']",[],https://twitter.com/EOIBeijing/status/1472050085617750016,FALSE,,1,https://pbs.twimg.com/media/FG3Fu08VkAQk49H.jpg,,,,,,,[],,,,,led svcc teachers dr amarjeet dr jaideb students mesmerised audience understanding grasp indian classical arts picked amritmahotsav ninaad,0,0,12
1.47205E+18,1.47205E+18,2021-12-18 09:14:17 India Standard Time,12/18/2021,9:14:17,530,7.67215E+17,eoibeijing,India in China,,Students and teachers of SVCC put together #NINAAD - an evening of Indian classical music and dance.   #AmritMahotsav #Ninaad  https://t.co/Xff5IsNzn6,en,[],[],"['https://pbs.twimg.com/media/FG3FtWYVIAIBBvT.jpg', 'https://pbs.twimg.com/media/FG3FtWWVIAESmmr.jpg', 'https://pbs.twimg.com/media/FG3FtWWVQAIJvOb.jpg', 'https://pbs.twimg.com/media/FG3FtYfVEAQw77T.jpg']",3,6,45,"['ninaad', 'amritmahotsav', 'ninaad']",[],https://twitter.com/EOIBeijing/status/1472050055272034308,FALSE,,1,https://pbs.twimg.com/media/FG3FtWYVIAIBBvT.jpg,,,,,,,[],,,,,students teachers svcc put together ninaad evening indian classical music dance amritmahotsav ninaad,0,0,12
1.47139E+18,1.47139E+18,2021-12-16 13:47:49 India Standard Time,12/16/2021,13:47:49,530,7.67215E+17,eoibeijing,India in China,,#BRICS,und,[],[],[],1,0,10,['brics'],[],https://twitter.com/EOIBeijing/status/1471394118878126088,FALSE,https://twitter.com/SecySanjay/status/1471393979853721602,0,,,,,,,,[],,,,,brics,0,0,12
1.47134E+18,1.47134E+18,2021-12-16 10:30:50 India Standard Time,12/16/2021,10:30:50,530,7.67215E+17,eoibeijing,India in China,,#IntangibleHeritage List   #DurgaPuja,en,[],[],[],0,2,9,"['intangibleheritage', 'durgapuja']",[],https://twitter.com/EOIBeijing/status/1471344543794532352,FALSE,https://twitter.com/UNESCO/status/1471077105261764610,0,,,,,,,,[],,,,,intangibleheritage list durgapuja,0,0,12
1.47101E+18,1.47101E+18,2021-12-15 12:10:51 India Standard Time,12/15/2021,12:10:51,530,7.67215E+17,eoibeijing,India in China,,#IndiaAtSCO  SCO STARTUP FORUM 2021,en,[],[],[],1,3,5,['indiaatsco'],[],https://twitter.com/EOIBeijing/status/1471007328207917058,FALSE,https://twitter.com/startupindia/status/1470772637454458892,0,,,,,,,,[],,,,,indiaatsco sco startup forum 2021,0,0,12
